,as_of,entry_time,exit_time,direction,entry,stop,take_profit,exit_price,pnl,r_multiple,outcome,bars_held,confidence,position_size,notional,leverage,entry_model_mean,entry_model_vol,entry_model_calibrated,sl_tp_method,sl_tp_risk_appetite,sl_tp_friction_sigma,sl_tp_unit,regime_enabled,regime_label,regime_confidence,regime_lookback,regime_route
0,2025-10-04T21:00:00+00:00,2025-10-05 02:00:00+00:00,2025-10-05 02:00:00+00:00,long,"122751,14736178264","122054,23282096631","123701,48537198672","123701,48537198672","13,63636363636356","1,363636363636356",tp,1,"0,6441","0,014348961622018002","1761,3515025529243","0,176135150255292",NHITS,EGARCH_t,True,atr,conservative,"0,75","506,8469387755096","1,0",TREND_UP,"0,25","200,0",trend
1,2025-10-05T02:00:00+00:00,2025-10-05 03:00:00+00:00,2025-10-05 03:00:00+00:00,long,"124119,83361111442","123405,9510090736","125093,30988662461","123405,9510090736","-10,0","-1,0",sl,1,"0,6441","0,014007905461503002","1738,6588951220567","0,17386588951220502",regime_momentum,EGARCH_t,True,atr,conservative,"0,75","519,187346938775","1,0",BREAKOUT_VOL_EXPANSION,"0,41557061676870904","200,0",alternate
2,2025-10-05T05:00:00+00:00,2025-10-05 09:00:00+00:00,2025-10-05 09:00:00+00:00,short,"122840,51120962549","123618,47245962548","121779,65495962549","123618,47245962548","-7,0","-1,0",sl,1,"0,6441","0,008997877464976","1105,3038675993002","0,11053038675993",regime_mean_reversion,EGARCH_t,True,atr,conservative,"0,75","565,7899999999995","1,0",RANGE,"0,33680354922438605","200,0",alternate
3,2025-10-05T09:00:00+00:00,2025-10-05 10:00:00+00:00,2025-10-05 16:00:00+00:00,long,"123066,61025367244","122341,90070153063","124175,60961591733","122341,90070153063","-10,0","-1,0",sl,7,"0,6441","0,013798631424749","1698,1507955837071","0,16981507955837002",NHITS,EGARCH_t,True,atr,conservative,"0,75","591,4663265306118",,,,,
4,2025-10-05T20:00:00+00:00,2025-10-05 21:00:00+00:00,2025-10-05 23:00:00+00:00,short,"122623,88959990324","123334,5768703114","121654,7705948012","123334,5768703114","-7,0","-1,0",sl,3,"0,6441","0,009849620629872","1207,798792718414","0,12077987927184101",regime_mean_reversion,EGARCH_t,True,atr,conservative,"0,75","516,8634693877553","1,0",RANGE,"0,324652819329783","200,0",alternate
5,2025-10-06T11:00:00+00:00,2025-10-06 13:00:00+00:00,2025-10-06 18:00:00+00:00,long,"124935,47775648128","124725,12327806123","126030,82023097108","126030,82023097108","19,287983582810075","5,207126954067231",tp,6,"0,6441","0,017609089423647","2200,0","0,22",NHITS,EGARCH_t,True,atr,conservative,"0,75","584,182653061225",,,,,
6,2025-10-06T20:00:00+00:00,2025-10-06 21:00:00+00:00,2025-10-07 08:00:00+00:00,short,"124837,53398802665","125011,44264030612","123589,85886047564","123589,85886047564","15,391362157256754","7,17431313047052",tp,12,"0,6441","0,012336033489316","1540,0","0,154",NHITS,EGARCH_t,True,atr,conservative,"0,75","665,4267346938782","1,0",RANGE,"0,257620893346635","200,0",alternate
7,2025-10-07T08:00:00+00:00,2025-10-07 09:00:00+00:00,2025-10-07 12:00:00+00:00,short,"123934,73391965166","124805,95159822308","122746,7098125088","124805,95159822308","-7,0","-1,0",sl,4,"0,6441","0,008034731356092001","995,7822927332131","0,09957822927332101",regime_mean_reversion,EGARCH_t,True,atr,conservative,"0,75","633,6128571428583","1,0",RANGE,"0,391589447099562","200,0",alternate
8,2025-10-07T12:00:00+00:00,2025-10-07 13:00:00+00:00,2025-10-07 13:00:00+00:00,short,"124167,0623866811","124993,88131525253","123039,58202953823","124993,88131525253","-7,0","-1,0",sl,1,"0,6441","0,008466182568043","1051,2210191033093","0,10512210191033",regime_mean_reversion,EGARCH_t,True,atr,conservative,"0,75","601,3228571428579","1,0",RANGE,"0,35806211967316004","200,0",alternate
9,2025-10-07T13:00:00+00:00,2025-10-07 14:00:00+00:00,2025-10-07 14:00:00+00:00,long,"124066,64899987876","123206,42009681753","125239,68841314406","123206,42009681753","-7,0","-1,0",sl,1,"0,6441","0,008137368989916","1009,5761022544192","0,100957610225441",regime_mean_reversion,EGARCH_t,True,atr,conservative,"0,75","625,6210204081638","1,0",RANGE,"0,38643313398142204","200,0",alternate
10,2025-10-08T06:00:00+00:00,2025-10-08 10:00:00+00:00,2025-10-08 13:00:00+00:00,long,"123015,26895493777","122036,95308759082","124349,33604677451","122036,95308759082","-10,0","-1,0",sl,4,"0,6441","0,010221647561659001","1257,4187239601658","0,125741872396016",NHITS,EGARCH_t,True,atr,conservative,"0,75","711,502448979592",,,,,
11,2025-10-08T13:00:00+00:00,2025-10-08 14:00:00+00:00,2025-10-09 01:00:00+00:00,long,"122988,49798458279","122733,50415816325","124371,04874988891","122733,50415816325","-4,5612917249652405","-1,0",sl,12,"0,6441","0,017887851596299003","2200,0","0,22",NHITS,EGARCH_t,True,atr,conservative,"0,75","737,3604081632653",,,,,
12,2025-10-09T07:00:00+00:00,2025-10-09 12:00:00+00:00,2025-10-09 14:00:00+00:00,long,"123168,19207080014","122313,2181377551","124539,88467284096","122313,2181377551","-10,0","-1,0",sl,3,"0,6441","0,011696263024516","1440,607570714226","0,14406075707142202",NHITS,EGARCH_t,True,atr,conservative,"0,75","731,5693877551025",,,,,
